,Category,Rating,Reviews,Size,Installs,Type,Price,Genres
0,ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,0,Art & Design
1,ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,0,Art & Design;Pretend Play
2,ART_AND_DESIGN,4.7,87510,8.7M,"5,000,000+",Free,0,Art & Design
3,ART_AND_DESIGN,4.5,215644,25M,"50,000,000+",Free,0,Art & Design
4,ART_AND_DESIGN,4.3,967,2.8M,"100,000+",Free,0,Art & Design;Creativity
5,ART_AND_DESIGN,4.4,167,5.6M,"50,000+",Free,0,Art & Design
6,ART_AND_DESIGN,3.8,178,19M,"50,000+",Free,0,Art & Design
7,ART_AND_DESIGN,4.1,36815,29M,"1,000,000+",Free,0,Art & Design
8,ART_AND_DESIGN,4.4,13791,33M,"1,000,000+",Free,0,Art & Design
9,ART_AND_DESIGN,4.7,121,3.1M,"10,000+",Free,0,Art & Design;Creativity
10,ART_AND_DESIGN,4.4,13880,28M,"1,000,000+",Free,0,Art & Design
11,ART_AND_DESIGN,4.4,8788,12M,"1,000,000+",Free,0,Art & Design
12,ART_AND_DESIGN,4.2,44829,20M,"10,000,000+",Free,0,Art & Design
13,ART_AND_DESIGN,4.6,4326,21M,"100,000+",Free,0,Art & Design
14,ART_AND_DESIGN,4.4,1518,37M,"100,000+",Free,0,Art & Design
15,ART_AND_DESIGN,3.2,55,2.7M,"5,000+",Free,0,Art & Design
16,ART_AND_DESIGN,4.7,3632,5.5M,"500,000+",Free,0,Art & Design
17,ART_AND_DESIGN,4.5,27,17M,"10,000+",Free,0,Art & Design
18,ART_AND_DESIGN,4.3,194216,39M,"5,000,000+",Free,0,Art & Design
19,ART_AND_DESIGN,4.6,224399,31M,"10,000,000+",Free,0,Art & Design
20,ART_AND_DESIGN,4,450,14M,"100,000+",Free,0,Art & Design
21,ART_AND_DESIGN,4.1,654,12M,"100,000+",Free,0,Art & Design
22,ART_AND_DESIGN,4.7,7699,4.2M,"500,000+",Free,0,Art & Design
23,ART_AND_DESIGN,,61,7.0M,"100,000+",Free,0,Art & Design;Action & Adventure
24,ART_AND_DESIGN,4.7,118,23M,"50,000+",Free,0,Art & Design
25,ART_AND_DESIGN,4.8,192,6.0M,"10,000+",Free,0,Art & Design
26,ART_AND_DESIGN,4.7,20260,25M,"500,000+",Free,0,Art & Design;Creativity
27,ART_AND_DESIGN,4.1,203,6.1M,"100,000+",Free,0,Art & Design
28,ART_AND_DESIGN,3.9,136,4.6M,"10,000+",Free,0,Art & Design
29,ART_AND_DESIGN,4.1,223,4.2M,"100,000+",Free,0,Art & Design
30,ART_AND_DESIGN,4.2,1120,9.2M,"100,000+",Free,0,Art & Design
31,ART_AND_DESIGN,4.1,227,5.2M,"50,000+",Free,0,Art & Design
32,ART_AND_DESIGN,4.5,5035,11M,"100,000+",Free,0,Art & Design
33,ART_AND_DESIGN,4.2,1015,11M,"100,000+",Free,0,Art & Design
34,ART_AND_DESIGN,4.7,353,4.2M,"10,000+",Free,0,Art & Design
35,ART_AND_DESIGN,3.8,564,9.2M,"100,000+",Free,0,Art & Design
36,ART_AND_DESIGN,4.7,8145,24M,"500,000+",Free,0,Art & Design;Creativity
37,ART_AND_DESIGN,4.1,36639,,"5,000,000+",Free,0,Art & Design
38,ART_AND_DESIGN,4.7,158,11M,"10,000+",Free,0,Art & Design
39,ART_AND_DESIGN,4,591,9.4M,"500,000+",Free,0,Art & Design
40,ART_AND_DESIGN,4.2,117,15M,"10,000+",Free,0,Art & Design
41,ART_AND_DESIGN,4.5,176,10M,"100,000+",Free,0,Art & Design
42,ART_AND_DESIGN,4.4,295221,,"10,000,000+",Free,0,Art & Design
43,ART_AND_DESIGN,3.8,2206,1.2M,"100,000+",Free,0,Art & Design;Creativity
44,ART_AND_DESIGN,4.2,26,12M,"10,000+",Free,0,Art & Design
45,ART_AND_DESIGN,4.7,174531,24M,"10,000,000+",Free,0,Art & Design
46,ART_AND_DESIGN,4.6,1070,26M,"100,000+",Free,0,Art & Design
47,ART_AND_DESIGN,4.2,85,8.0M,"100,000+",Free,0,Art & Design
48,ART_AND_DESIGN,4.3,845,7.9M,"100,000+",Free,0,Art & Design
49,AUTO_AND_VEHICLES,4.2,367,25M,"100,000+",Free,0,Auto & Vehicles
50,AUTO_AND_VEHICLES,4,1598,56M,"1,000,000+",Free,0,Auto & Vehicles
51,AUTO_AND_VEHICLES,3.8,284,57M,"100,000+",Free,0,Auto & Vehicles
52,AUTO_AND_VEHICLES,4.6,17057,,"1,000,000+",Free,0,Auto & Vehicles
53,AUTO_AND_VEHICLES,3.9,129,35M,"100,000+",Free,0,Auto & Vehicles
54,AUTO_AND_VEHICLES,4.3,542,33M,"100,000+",Free,0,Auto & Vehicles
55,AUTO_AND_VEHICLES,4.9,10479,33M,"100,000+",Free,0,Auto & Vehicles
